"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","19600","0","0","0","2287.65","1800","2406.7","0","0","0","20","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","19700","0","0","0","3596.05","0","2359.45","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","19800","1800","1800","1800","1800","1800","2312.95","1","4.32",".36","20","20","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","19900","0","0","0","3468.75","0","2267.2","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20000","1900","2700","1555.9","1731.35","1729.35","1731.35","4973","21798.78","1906.78","64400","12900","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20100","2400","2400","2400","2400","2400","2177.8","1","4.5",".48","0","-20","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20200","2331.5","2331.5","1450","1452","1452","2134.15","15","66.23","5.63","80","80","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20300","0","0","0","3665.15","0","2091.2","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20400","2366.75","2366.75","1750","1750","1750","2048.95","2","8.98",".82","20","20","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20500","1944.9","2328.65","1331.05","1515.85","1459.25","1515.85","697","3088.31","230.61","2120","720","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20600","2420.6","2420.6","1287.35","1497.05","1497.05","1497.05","11","48.85","3.53","100","100","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20700","0","0","0","3390.75","0","1926.35","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20800","1813.1","2293.15","1304.4","1400","1400","1886.85","41","185.61","15.05","100","100","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","20900","1940.05","1940.05","1218.9","1218.9","1218.9","1218.9","41","185.26","13.88","60","60","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","21000","1900","2055","1143.35","1257.2","1230","1257.2","7219","32535.52","2215.72","32360","9600","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","21100","1537.6","1742.75","1206.55","1206.55","1206.55","1772.25","76","343.42","22.7","1420","1420","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","21200","2654.05","2654.05","1500","1700","1700","1735.35","4","18.63","1.67","20","20","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","21300","2361.15","2361.15","1700","1700","1700","1699.1","2","9.33",".81","20","20","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","21400","3005.5","3005.5","3005.5","3005.5","3005.5","1663.45","1","4.88",".6","20","20","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","21500","1397.25","1800","946.75","1052.45","1035","1052.45","1085","4951.3","285.8","5680","5460","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","13900","0","0","0","3505.4","0","6326.3","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14000","7000","7000","6021.65","6021.65","6021.65","6238.75","2","8.2","2.6","820","20","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14100","5875.45","5875.45","5875.45","5875.45","5875.45","6151.65","1","4","1.18","80","20","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14200","0","0","0","3281.2","0","6065.1","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14300","0","0","0","3208.15","0","5979.15","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14400","0","0","0","3136.05","0","5893.7","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14500","0","0","0","3064.9","0","5808.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14600","0","0","0","2994.75","0","5724.55","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14700","0","0","0","2925.55","0","5640.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14800","0","0","0","2857.4","0","5557.8","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","14900","0","0","0","2790.25","0","5475.3","0","0","0","0","0","19969"
